scenario,seed,row,column,country,strategy,alive
spacious,0,2,1,switzerland-1,switzerland,1
spacious,0,2,2,,,
spacious,0,2,3,switzerland-1,switzerland,1
spacious,0,2,4,hegemony-1,hegemony,1
spacious,0,2,5,hegemony-1,hegemony,1
spacious,0,2,6,hegemony-1,hegemony,1
spacious,0,2,7,hegemony-1,hegemony,1
spacious,0,2,8,hegemony-1,hegemony,1
spacious,0,2,9,hegemony-1,hegemony,1
spacious,0,2,10,switzerland-1,switzerland,1
spacious,0,2,11,switzerland-1,switzerland,1
spacious,0,2,12,switzerland-1,switzerland,1
spacious,0,2,13,switzerland-1,switzerland,1
spacious,0,2,14,switzerland-1,switzerland,1
spacious,0,2,15,switzerland-1,switzerland,1
spacious,0,2,16,switzerland-1,switzerland,1
spacious,0,2,17,switzerland-1,switzerland,1
spacious,0,2,18,switzerland-1,switzerland,1
spacious,0,2,19,switzerland-1,switzerland,1
spacious,0,2,20,hegemony-1,hegemony,1
spacious,0,2,21,hegemony-1,hegemony,1
spacious,0,2,22,hegemony-1,hegemony,1
spacious,0,2,23,switzerland-1,switzerland,1
spacious,0,2,24,switzerland-1,switzerland,1
spacious,0,2,25,switzerland-1,switzerland,1
spacious,0,3,0,switzerland-1,switzerland,1
spacious,0,3,1,switzerland-1,switzerland,1
spacious,0,3,2,,,
spacious,0,3,3,switzerland-1,switzerland,1
spacious,0,3,4,switzerland-1,switzerland,1
spacious,0,3,5,switzerland-1,switzerland,1
spacious,0,3,6,switzerland-1,switzerland,1
spacious,0,3,7,switzerland-1,switzerland,1
spacious,0,3,8,switzerland-1,switzerland,1
spacious,0,3,9,switzerland-1,switzerland,1
spacious,0,3,10,switzerland-1,switzerland,1
spacious,0,3,11,switzerland-1,switzerland,1
spacious,0,3,12,switzerland-1,switzerland,1
spacious,0,3,13,switzerland-1,switzerland,1
spacious,0,3,14,switzerland-1,switzerland,1
spacious,0,3,15,switzerland-1,switzerland,1
spacious,0,3,16,switzerland-1,switzerland,1
spacious,0,3,17,switzerland-1,switzerland,1
spacious,0,3,18,switzerland-1,switzerland,1
spacious,0,3,19,switzerland-1,switzerland,1
spacious,0,3,20,switzerland-1,switzerland,1
spacious,0,3,21,switzerland-1,switzerland,1
spacious,0,3,22,hegemony-1,hegemony,1
spacious,0,3,23,switzerland-1,switzerland,1
spacious,0,3,24,switzerland-1,switzerland,1
